Dose,Setting,Grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,pH,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,target_brew_temperature,target_total_dissolved_solids_percent,target_extraction_percent
252.7,5LG,5,2790.5,1.48,16.34325287,5.01,5,4,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,87,1.5,16
207.6,5LG,3,2777.0,1.47,19.66372832,5.1,7,3,3,3,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,87,1.5,20
176.1,4LG,3,2843.5,1.43,23.090318,4.98,7,4,3,3,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,87,1.5,24
176.1,6LG,5,2863.9,0.99,16.10028961,5.07,7,4,3,4,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,1.0,16
145.0,6LG,3,2872.8,1.04,20.60491034,5.08,7,4,2,3,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.0,20
121.1,14SM,3,2916.7,0.96,23.12165153,5.07,4,4,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.0,24
215.3,5SM,5,2819.9,1.27,16.63387366,5.05,3,4,4,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,90,1.25,16
176.1,12LG,3,2826.4,1.27,20.38346394,5.08,7,3,3,4,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,90,1.25,20
149.0,4LG,3,2861.9,1.26,24.20130201,5.1,7,3,3,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,90,1.25,24
252.7,5LG,5,2782.1,1.59,17.50510091,4.98,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,90,1.5,16
207.6,5LG,3,2800.4,1.5,20.23410405,5.04,4,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,90,1.5,20
176.1,4LG,3,2829.4,1.47,23.61850085,5.03,3,4,3,5,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,90,1.5,24
176.1,2SM,5,2830.6,0.99,15.91308348,5.04,6,5,2,3,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,93,1.0,16
140.3,3LG,3,2860.3,1.02,20.79476835,5.07,4,5,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93,1.0,20
